probe_id,seed,n_slice,condition,topic,pipeline_rank,cosine_rank,pipeline_hit_at_k,cosine_hit_at_k,s4_contradiction_emitted,anti_hits_count,hint_kinds,pipeline_top1_text,route,cue_hash,arousal_route,arousal_cue_hash
post-0000-13,13,0,post_flip,bug_fix_eta,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",The fix ships in week 14.,efe_shadow,30693469,arousal_shadow,30693469
post-0001-13,13,0,post_flip,dependency_lib,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",We use OpenSSL for crypto.,efe_real,3d3d7ff7,arousal_real,3d3d7ff7
post-0002-13,13,0,post_flip,launch_date,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",The product launches on 2026-06-01.,efe_real,cf50ae39,arousal_real,cf50ae39
post-0003-13,13,0,post_flip,price_usd,2,1,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Annual subscription is $499.,efe_real,5d38734a,arousal_real,5d38734a
post-0004-13,13,0,post_flip,supplier_name,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",We source components from Acme Industries.,efe_shadow,304e2924,arousal_shadow,304e2924
post-0005-13,13,0,post_flip,conference_city,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Annual conference will be in Berlin.,efe_real,43730606,arousal_real,43730606
post-0006-13,13,0,post_flip,ceo_name,1,1,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Update: the actual CEO is Marcus Chen.,efe_real,75575679,arousal_real,75575679
post-0007-13,13,0,post_flip,ceo_name,1,1,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Update: the actual CEO is Marcus Chen.,efe_real,75575679,arousal_real,75575679
post-0008-13,13,0,post_flip,budget_ceiling,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Q3 budget ceiling is $50k.,efe_shadow,9271141b,arousal_shadow,9271141b
post-0009-13,13,0,post_flip,price_usd,2,1,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Annual subscription is $499.,efe_real,5d38734a,arousal_real,5d38734a
post-0010-13,13,0,post_flip,dependency_lib,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",We use OpenSSL for crypto.,efe_real,3d3d7ff7,arousal_real,3d3d7ff7
post-0011-13,13,0,post_flip,budget_ceiling,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",Q3 budget ceiling is $50k.,efe_shadow,9271141b,arousal_shadow,9271141b
post-0012-13,13,0,post_flip,launch_date,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",The product launches on 2026-06-01.,efe_real,cf50ae39,arousal_real,cf50ae39
post-0013-13,13,0,post_flip,supplier_name,2,2,1,1,1,0,"s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction,s4_contradiction",We source components from Acme Industries.,efe_shadow,304e2924,arousal_shadow,304e2924
